Sl No,Txn Date,Description,Cheque No,Withdrawal (in Rs.),Deposits (in Rs.),Balance (in Rs.)
1,06-06-2025,"BILL ID : [6059FBP25000027] :
PURCHASE",,"77,85,083.00",,"-30,23,55,623.02"
2,06-06-2025,"BILL ID : [6059FBP25000029] :
PURCHASE",,"38,92,541.00",,"-30,62,48,164.02"
3,06-06-2025,"BILL ID : [6059FBP25000028] :
PURCHASE",,"38,92,541.00",,"-31,01,40,705.02"
4,06-06-2025,"BILL ID : [6059FBP25000024] :
REALIZE",,,"3,56,41,975.00","-27,44,98,730.02"
5,13-06-2025,"Bill Id : [6059FBP25000021] :
Miscelleneous 1 A/c",,,"1,23,34,514.00","-26,21,64,216.02"
6,13-06-2025,"Bill Id : [6059FBP25000021] :
Miscelleneous 1 A/c",,,"62,32,380.00","-25,59,31,836.02"
7,17-06-2025,"Bill Id : [6059FBP25000020] :
REALIZE",,,"1,99,60,922.00","-23,59,70,914.02"
8,19-06-2025,"BILL ID : [6059FBP25000030] :
PURCHASE",,"2,35,60,875.00",,"-25,95,31,789.02"
9,21-06-2025,"BILL ID : [6059FBP25000026] :
DELINK",,,"1,84,48,288.00","-24,10,83,501.02"
10,27-06-2025,"Bill Id : [6059FBP25000025] :
REALIZE",,,"1,98,66,688.00","-22,12,16,813.02"
