Txn No.,Txn Date,Description,Branch Name,Cheque No.,Dr Amount,Cr Amount,Balance,KIMS Remarks
S81074345,01-12-2024,"IMPS-
IN/433609130022/981
2063048/LORA ENG",-,,,"84,759.00","14,73,65,043.
56 Dr.",
S12741487,01-12-2024,"NRTGS/YESBR1202
4120100003221/DEL
HI TUBES AND
PIPES",-,,,"25,00,000.00","14,48,65,043.
56 Dr.",
S22333815,01-12-2024,"NEFT_IN:SBIN42433
6255671/0045/
GUPTA HARDWARE
STORE PVT LTD",-,,,"2,63,000.00","14,46,02,043.
56 Dr.",
S26901492,02-12-2024,"NRTGS/YESBR1202
4120200005208/GOE
L RETAIL
PRODUCTS",-,,,"6,18,592.00","14,39,83,451.
56 Dr.",
S28488280,02-12-2024,"IMPS-
IN/433708137211/701
5869792/PROJECT",-,,,"2,50,000.00","14,37,33,451.
56 Dr.",
S31666157,02-12-2024,"NRTGS/KKBKR1202
4120200668686/Hars
h Enterprises",-,,,"8,24,457.00","14,29,08,994.
56 Dr.",
S34693753,02-12-2024,"NRTGS/BARBR5202
4120200928391/PRU
DVI INDUSTRIES",-,,,"17,25,000.00","14,11,83,994.
56 Dr.",
S37807252,02-12-2024,"BILLDESK/ZCPNXZO
07E8I9W/518306824
4/L No. 8606 BIS",-,,"56,651.80",,"14,12,40,646.
36 Dr.",
S39064955,02-12-2024,"NEFT_IN:N33724342
7702896/0023/
MANSINGHKA
STORES",-,,,"26,76,364.00","13,85,64,282.
36 Dr.",
S39733409,02-12-2024,"NRTGS/HDFCR5202
4120266707664/ISHA
TUBES AND
STRUCT",-,,,"19,67,672.00","13,65,96,610.
36 Dr.",
S41389860,02-12-2024,"NRTGS/IDFBR52024
120200344352/GANE
SH TUBE
CORPORATI",-,,,"34,12,476.00","13,31,84,134.
36 Dr.",
S41587404,02-12-2024,"NRTGS/ICICR520241
20200422700/HARC
OMP AIRFLEX
PRIVA",-,,,"41,54,688.00","12,90,29,446.
36 Dr.",
S43124187,02-12-2024,"NRTGS/HDFCR5202
4120266817605/VAR
DHMAN STEEL
COMPAN",-,,,"23,88,129.00","12,66,41,317.
36 Dr.",
S44774854,02-12-2024,"NRTGS/UTIBR62024
120286512102/BANS
AL STEELS",-,,,"10,25,000.00","12,56,16,317.
36 Dr.",
S45105674,02-12-2024,"IMPS-
IN/433769145379/932
4143357/VIKRAM A",-,,,"5,00,000.00","12,51,16,317.
36 Dr.",
S45149386,02-12-2024,"NRTGS/CNRBR5202
4120294283768/SRE
EVATSA TUBES
PRIVA",-,,,"2,61,454.00","12,48,54,863.
36 Dr.",
S45912081,02-12-2024,"IMPS-
IN/433713141340/935
0907700/AGGARWA
L",-,,,"9,063.00","12,48,45,800.
36 Dr.",
S46129654,02-12-2024,"NRTGS/HDFCR5202
4120266746234/SHIB
DASS   SONS PRIV",-,,,"12,72,172.00","12,35,73,628.
36 Dr.",
S46873822,02-12-2024,"NRTGS/HDFCR5202
4120266749026/PRA
MANLALANDCO",-,,,"8,68,835.00","12,27,04,793.
36 Dr.",
S47753603,02-12-2024,"NRTGS/UTIBR52024
120200357757/VIJAY
SALES CORPORATI",-,,,"17,11,187.00","12,09,93,606.
36 Dr.",
S47801380,02-12-2024,"NRTGS/HDFCR5202
4120266850588/SHRI
VARDHMAN TUBE
CO",-,,,"4,18,216.00","12,05,75,390.
36 Dr.",
S48173656,02-12-2024,"NRTGS/HDFCR5202
4120266778117/SHRI
VARDHMAN TUBE
CO",-,,,"2,99,451.00","12,02,75,939.
36 Dr.",
S50198923,02-12-2024,"NRTGS/KKBKR2202
4120214935271/AJA
Y PIPE COMPANY",-,,,"15,00,000.00","11,87,75,939.
36 Dr.",
S50217157,02-12-2024,"NRTGS/HDFCR5202
4120266759870/VOR
A AND CO",-,,,"16,37,273.00","11,71,38,666.
36 Dr.",
M1331679,02-12-2024,BRL LOGISTICS,-,,,"2,50,000.00","11,68,88,666.
36 Dr.",
