Transaction Date,Value Date,Transaction Description,Reference No,Debit Amount,Credit Amount,Running Balance
30-09-2024 00:00:00,30-09-2024,B/F..,0,0.00,0.00,"-499,864.13"
01-10-2024 10:31:24,01-10-2024,"016LA41242680008-IN
T-PMT-DEMNDLOAN",- -,"69,685.79",0.00,"-569,549.92"
01-10-2024 10:31:25,01-10-2024,"016LA41242690006-IN
T-PMT-DEMNDLOAN",- -,"118,333.33",0.00,"-687,883.25"
01-10-2024 16:40:33,01-10-2024,"Funds Trf from XX01
01/JINDAL INDUSTRI","EXCHUSER00000000000
000000000006759564854",0.00,"3,875,000.00","3,187,116.75"
01-10-2024 18:24:18,01-10-2024,"RTGS O/W-YESBR1202
4100100014488-PUNB0
200200-Jindal Industries
 Private-NANONENONE",YESBR12024100100014488,"10,000,000.00",0.00,"-6,812,883.25"
02-10-2024 14:36:48,02-10-2024,"Funds Trf from XX00
83/JINDAL INDUSTRI","EXCHUSER00000000000
000000000006762109738",0.00,"2,000,000.00","-4,812,883.25"
03-10-2024 07:05:56,03-10-2024,"016LA41242690006-IN
T-PMT-DEMNDLOAN",- -,"38,797.81",0.00,"-4,851,681.06"
03-10-2024 07:05:56,03-10-2024,"016LA4124269000
6-DMNDLOAN-LIQ",- -,"100,000,000.00",0.00,"-104,851,681.06"
03-10-2024 17:02:18,03-10-2024,"Funds Trf from XX00
83/JINDAL INDUSTRI","EXCHUSER00000000000
000000000006764921144",0.00,"2,000,000.00","-102,851,681.06"
03-10-2024 17:45:46,03-10-2024,"Funds Trf from XX14
20/JINDAL INDUSTRI","EXCHUSER00000000000
000000000006765043235",0.00,"1,736,674.00","-101,115,007.06"
03-10-2024 18:26:48,03-10-2024,"Funds Trf from XX01
30/JINDAL INDUSTRI","EXCHUSER00000000000
000000000006765142148",0.00,"66,189.00","-101,048,818.06"
03-10-2024 20:07:28,03-10-2024,"REVERSAL-016LA412
42690006-DMNDLOAN
-LIQ-SOUTHEXDELHI","403ZTRF2427700
LK-000000000000","-100,000,000.00",0.00,"-1,048,818.06"
03-10-2024 20:07:28,03-10-2024,"REVERSAL-016LA41242
690006-INT-PMT-DEMN
DLOAN-SOUTHEXDELHI","403ZTRF2427700
LM-000000000000","-38,797.81",0.00,"-1,010,020.25"
04-10-2024 17:34:16,04-10-2024,"Funds Trf from XX05
11/JINDAL INDUSTRI","EXCHUSER00000000000
000000000006767677743",0.00,"2,030,345.00","1,020,324.75"
04-10-2024 17:42:35,05-10-2024,"CHQ DEPOSIT DELHI-A
XIS - 01-OCT-24 - CHA",000000005286,0.00,"696,778.00","1,717,102.75"
04-10-2024 17:57:16,04-10-2024,"Funds Trf from XX24
82/JINDAL INDUSTRI","EXCHUSER00000000000
000000000006767728726",0.00,"1,000,000.00","2,717,102.75"
04-10-2024 19:37:46,04-10-2024,"Funds Trf from XX23
62/JINDAL INDUSTRI","EXCHUSER00000000000
000000000006768011981",0.00,"762,274.00","3,479,376.75"
04-10-2024 19:39:16,04-10-2024,"Funds Trf from XX23
62/JINDAL INDUSTRI","EXCHUSER00000000000
000000000006768017359",0.00,"1,750,485.00","5,229,861.75"
04-10-2024 19:39:43,04-10-2024,"Funds Trf from XX23
62/JINDAL INDUSTRI","EXCHUSER00000000000
000000000006768017872",0.00,"709,446.00","5,939,307.75"
05-10-2024 15:28:10,05-10-2024,"Funds Trf from XX05
11/JINDAL INDUSTRI","EXCHUSER00000000000
000000000006770143169",0.00,"3,368,174.00","9,307,481.75"
05-10-2024 17:27:17,05-10-2024,"Funds Trf from XX14
20/JINDAL INDUSTRI","EXCHUSER00000000000
000000000006770461016",0.00,"5,383,866.00","14,691,347.75"
07-10-2024 15:40:21,07-10-2024,"Funds Trf from XX00
83/JINDAL INDUSTRI","EXCHUSER00000000000
000000000006775726162",0.00,"2,000,000.00","16,691,347.75"
07-10-2024 18:28:07,07-10-2024,"RTGS O/W-YESBR1202
4100700013474-PUNB0
200200-Jindal Industries
 Private-NANONENONE",YESBR12024100700013474,"20,000,000.00",0.00,"-3,308,652.25"
07-10-2024 18:28:12,07-10-2024,"IMPS/NA/XXXX4674/RRN:42
8118209505/C74628092415
4216/PUNJAB NATIONAL B
ANK/Jindal Industries Pr/NA",428118209505,"500,000.00",0.00,"-3,808,652.25"
07-10-2024 18:28:19,07-10-2024,"IMPS/NA/XXXX4674/RRN:42
8118209555/C71728092415
4151/PUNJAB NATIONAL B
ANK/Jindal Industries Pr/NA",428118209555,"500,000.00",0.00,"-4,308,652.25"
08-10-2024 11:49:50,08-10-2024,"Funds Trf from XX23
62/JINDAL INDUSTRI","EXCHUSER00000000000
000000000006778206047",0.00,"762,988.00","-3,545,664.25"
08-10-2024 11:50:19,08-10-2024,"Funds Trf from XX23
62/JINDAL INDUSTRI","EXCHUSER00000000000
000000000006778206680",0.00,"723,010.00","-2,822,654.25"
08-10-2024 11:50:50,08-10-2024,"Funds Trf from XX23
62/JINDAL INDUSTRI","EXCHUSER00000000000
000000000006778202950",0.00,"725,151.00","-2,097,503.25"
08-10-2024 11:51:19,08-10-2024,"Funds Trf from XX23
62/JINDAL INDUSTRI","EXCHUSER00000000000
000000000006778203599",0.00,"728,721.00","-1,368,782.25"
08-10-2024 11:51:50,08-10-2024,"Funds Trf from XX23
62/JINDAL INDUSTRI","EXCHUSER00000000000
000000000006778208827",0.00,"728,721.00","-640,061.25"
08-10-2024 11:52:19,08-10-2024,"Funds Trf from XX23
62/JINDAL INDUSTRI","EXCHUSER00000000000
000000000006778214459",0.00,"729,435.00","89,373.75"
08-10-2024 11:52:50,08-10-2024,"Funds Trf from XX23
62/JINDAL INDUSTRI","EXCHUSER00000000000
000000000006778210469",0.00,"740,857.00","830,230.75"
08-10-2024 11:53:19,08-10-2024,"Funds Trf from XX23
62/JINDAL INDUSTRI","EXCHUSER00000000000
000000000006778211048",0.00,"813,473.00","1,643,703.75"
08-10-2024 16:06:27,08-10-2024,"Funds Trf from XX23
62/JINDAL INDUSTRI","EXCHUSER00000000000
000000000006778869224",0.00,"1,794,601.00","3,438,304.75"
08-10-2024 16:06:52,08-10-2024,"Funds Trf from XX23
62/JINDAL INDUSTRI","EXCHUSER00000000000
000000000006778873472",0.00,"723,051.00","4,161,355.75"
08-10-2024 18:15:22,08-10-2024,"Funds Trf from XX06
92/JINDAL INDUSTRI","EXCHUSER00000000000
000000000006779269839",0.00,"1,300,000.00","5,461,355.75"
08-10-2024 18:51:37,08-10-2024,"RTGS O/W-YESBR1202
4100800014789-PUNB0
200200-Jindal Industries
 Private-NANONENONE",YESBR12024100800014789,"7,500,000.00",0.00,"-2,038,644.25"
08-10-2024 18:51:38,08-10-2024,"RTGS O/W-YESBR1202
4100800013102-PUNB0
200200-Jindal Industries
 Private-NANONENONE",YESBR12024100800013102,"5,000,000.00",0.00,"-7,038,644.25"
09-10-2024 06:35:20,09-10-2024,"016LA41242680008-IN
T-PMT-DEMNDLOAN",- -,"79,699.45",0.00,"-7,118,343.70"
09-10-2024 06:35:20,09-10-2024,"016LA4124268000
8-DMNDLOAN-LIQ",- -,"50,000,000.00",0.00,"-57,118,343.70"
09-10-2024 16:16:24,09-10-2024,"Funds Trf from XX01
30/JINDAL INDUSTRI","EXCHUSER00000000000
000000000006781935592",0.00,"132,335.00","-56,986,008.70"
09-10-2024 17:55:25,09-10-2024,"Funds Trf from XX00
83/JINDAL INDUSTRI","EXCHUSER00000000000
000000000006782214082",0.00,"3,000,000.00","-53,986,008.70"
09-10-2024 18:03:16,09-10-2024,"Funds Trf from XX14
20/JINDAL INDUSTRI","EXCHUSER00000000000
000000000006782235177",0.00,"3,571,954.00","-50,414,054.70"
09-10-2024 18:18:08,09-10-2024,"Funds Trf from XX05
11/JINDAL INDUSTRI","EXCHUSER00000000000
000000000006782279918",0.00,"1,972,294.00","-48,441,760.70"
09-10-2024 18:50:33,09-10-2024,"Funds Trf from XX24
82/JINDAL INDUSTRI","EXCHUSER00000000000
000000000006782372880",0.00,"1,500,000.00","-46,941,760.70"
09-10-2024 18:50:34,09-10-2024,"Funds Trf from XX24
82/JINDAL INDUSTRI","EXCHUSER00000000000
000000000006782377218",0.00,"1,500,000.00","-45,441,760.70"
