Txn No.,Txn Date,Description,Branch Name,Cheque No.,Dr Amount,Cr Amount,Balance,KIMS Remarks
S84282983,31-01-2025,"To:XXXX5889:DCM
NOUVELLE LTD
UNIT DCM TEXT",-,,"44,53,741.00",,"52,544.37 Cr.",
S84114491,31-01-2025,"To:XXXX5889:DCM
NOUVELLE LTD
UNIT DCM TEXT",-,,"4,15,68,000.0
0",,"45,06,285.37
Cr.",
S81074625,31-01-2025,"Disb. for
[D1472909/200200UE
00004893]",-,,,"4,15,68,000.0
0","4,60,74,285.3
7 Cr.",
S73148832,31-01-2025,"NEFT_IN:SBIC30026
5113962/0026/ EPAO
CUSTOMS DUTY
DRAWBACK
PAYMENTS",-,,,"1,04,165.00","45,06,285.37
Cr.",
S73064090,31-01-2025,"NEFT_IN:SBIC30026
5113963/0026/ EPAO
CUSTOMS DUTY
DRAWBACK
PAYMENTS",-,,,"1,04,165.00","44,02,120.37
Cr.",
S73016602,31-01-2025,"NEFT_IN:SBIC30026
5113968/0026/ EPAO
CUSTOMS DUTY
DRAWBACK
PAYMENTS",-,,,"1,19,028.00","42,97,955.37
Cr.",
S72997736,31-01-2025,"NEFT_IN:SBIC30026
5113983/0026/ EPAO
CUSTOMS DUTY
DRAWBACK
PAYMENTS",-,,,"1,03,054.00","41,78,927.37
Cr.",
S72992500,31-01-2025,"NEFT_IN:SBIC30026
5113984/0026/ EPAO
CUSTOMS DUTY
DRAWBACK
PAYMENTS",-,,,"1,09,335.00","40,75,873.37
Cr.",
S72992464,31-01-2025,"NEFT_IN:SBIC30026
5113967/0026/ EPAO
CUSTOMS DUTY
DRAWBACK
PAYMENTS",-,,,"87,052.00","39,66,538.37
Cr.",
S72976200,31-01-2025,"NEFT_IN:SBIC30026
5113982/0026/ EPAO
CUSTOMS DUTY
DRAWBACK
PAYMENTS",-,,,"1,10,224.00","38,79,486.37
Cr.",
S72962421,31-01-2025,"NEFT_IN:SBIC30026
5113964/0026/ EPAO
CUSTOMS DUTY
DRAWBACK
PAYMENTS",-,,,"1,13,601.00","37,69,262.37
Cr.",
S72843109,31-01-2025,"NEFT_IN:SBIC30026
5113965/0026/ EPAO
CUSTOMS DUTY
DRAWBACK
PAYMENTS",-,,,"1,10,646.00","36,55,661.37
Cr.",
S72835719,31-01-2025,"NEFT_IN:SBIC30026
5113966/0026/ EPAO
CUSTOMS DUTY
DRAWBACK
PAYMENTS",-,,,"1,08,709.00","35,45,015.37
Cr.",
S69953796,31-01-2025,"NEFT_IN:SBIC30026
5113975/0023/ EPAO
CUSTOMS DUTY
DRAWBACK
PAYMENTS",-,,,"1,12,862.00","34,36,306.37
Cr.",
S69899288,31-01-2025,"NEFT_IN:SBIC30026
5113990/0023/ EPAO
CUSTOMS DUTY
DRAWBACK
PAYMENTS",-,,,"1,15,990.00","33,23,444.37
Cr.",
S69847356,31-01-2025,"NEFT_IN:SBIC30026
5113960/0023/ EPAO
CUSTOMS DUTY
DRAWBACK
PAYMENTS",-,,,"1,15,662.00","32,07,454.37
Cr.",
S69795566,31-01-2025,"NEFT_IN:SBIC30026
5113957/0023/ EPAO
CUSTOMS DUTY
DRAWBACK
PAYMENTS",-,,,"1,02,841.00","30,91,792.37
Cr.",
S69793397,31-01-2025,"NEFT_IN:SBIC30026
5113992/0023/ EPAO
CUSTOMS DUTY
DRAWBACK
PAYMENTS",-,,,"1,14,065.00","29,88,951.37
Cr.",
S69783678,31-01-2025,"NEFT_IN:SBIC30026
5113972/0023/ EPAO
CUSTOMS DUTY
DRAWBACK
PAYMENTS",-,,,"1,03,714.00","28,74,886.37
Cr.",
S69786136,31-01-2025,"NEFT_IN:SBIC30026
5113974/0023/ EPAO
CUSTOMS DUTY
DRAWBACK
PAYMENTS",-,,,"86,927.00","27,71,172.37
Cr.",
S69766473,31-01-2025,"NEFT_IN:SBIC30026
5113956/0023/ EPAO
CUSTOMS DUTY
DRAWBACK
PAYMENTS",-,,,"1,16,242.00","26,84,245.37
Cr.",
S69739719,31-01-2025,"NEFT_IN:SBIC30026
5122206/0024/ EPAO
CUSTOMS DUTY
DRAWBACK
PAYMENTS",-,,,"81,280.00","25,68,003.37
Cr.",
S69725272,31-01-2025,"NEFT_IN:SBIC30026
5113958/0023/ EPAO
CUSTOMS DUTY
DRAWBACK
PAYMENTS",-,,,"1,03,387.00","24,86,723.37
Cr.",
S69709242,31-01-2025,"NEFT_IN:SBIC30026
5122207/0024/ EPAO
CUSTOMS DUTY
DRAWBACK
PAYMENTS",-,,,"91,346.00","23,83,336.37
Cr.",
S69690689,31-01-2025,"NEFT_IN:SBIC30026
5113973/0023/ EPAO
CUSTOMS DUTY
DRAWBACK
PAYMENTS",-,,,"1,14,282.00","22,91,990.37
Cr.",
S69650121,31-01-2025,"NEFT_IN:SBIC30026
5113989/0023/ EPAO
CUSTOMS DUTY
DRAWBACK
PAYMENTS",-,,,"1,04,781.00","21,77,708.37
Cr.",
S69574523,31-01-2025,"NEFT_IN:SBIC30026
5113991/0023/ EPAO
CUSTOMS DUTY
DRAWBACK
PAYMENTS",-,,,"1,08,266.00","20,72,927.37
Cr.",
S69550197,31-01-2025,"NEFT_IN:SBIC30026
5113993/0024/ EPAO
CUSTOMS DUTY
DRAWBACK
PAYMENTS",-,,,"1,10,286.00","19,64,661.37
Cr.",
S69485876,31-01-2025,"NEFT_IN:SBIC30026
5113988/0023/ EPAO
CUSTOMS DUTY
DRAWBACK
PAYMENTS",-,,,"1,14,025.00","18,54,375.37
Cr.",
S69479243,31-01-2025,"NEFT_IN:SBIC30026
5113971/0023/ EPAO
CUSTOMS DUTY
DRAWBACK
PAYMENTS",-,,,"1,15,533.00","17,40,350.37
Cr.",
S69479045,31-01-2025,"NEFT_IN:SBIC30026
5113977/0023/ EPAO
CUSTOMS DUTY
DRAWBACK
PAYMENTS",-,,,"1,12,424.00","16,24,817.37
Cr.",
S69453200,31-01-2025,"NEFT_IN:SBIC30026
5113976/0023/ EPAO
CUSTOMS DUTY
DRAWBACK
PAYMENTS",-,,,"1,15,208.00","15,12,393.37
Cr.",
S69386886,31-01-2025,"NEFT_IN:SBIC30026
5113979/0023/ EPAO
CUSTOMS DUTY
DRAWBACK
PAYMENTS",-,,,"1,06,632.00","13,97,185.37
Cr.",
S69394100,31-01-2025,"NEFT_IN:SBIC30026
5113980/0023/ EPAO
CUSTOMS DUTY
DRAWBACK
PAYMENTS",-,,,"93,102.00","12,90,553.37
Cr.",
S69393939,31-01-2025,"NEFT_IN:SBIC30026
5113959/0023/ EPAO
CUSTOMS DUTY
DRAWBACK
PAYMENTS",-,,,"1,08,502.00","11,97,451.37
Cr.",
S69383204,31-01-2025,"NEFT_IN:SBIC30026
5113978/0023/ EPAO
CUSTOMS DUTY
DRAWBACK
PAYMENTS",-,,,"1,10,937.00","10,88,949.37
Cr.",
S69253461,31-01-2025,"NEFT_IN:SBIC30026
5113961/0023/ EPAO
CUSTOMS DUTY
DRAWBACK
PAYMENTS",-,,,"1,08,502.00","9,78,012.37
Cr.",
S69253086,31-01-2025,"NEFT_IN:SBIC30026
5113981/0023/ EPAO
CUSTOMS DUTY
DRAWBACK
PAYMENTS",-,,,"1,08,030.00","8,69,510.37
Cr.",
S69247423,31-01-2025,"NEFT_IN:SBIC30026
5122208/0023/ EPAO
CUSTOMS DUTY
DRAWBACK
PAYMENTS",-,,,"84,083.00","7,61,480.37
Cr.",
S69216154,31-01-2025,"NEFT_IN:SBIC30026
5113969/0023/ EPAO
CUSTOMS DUTY
DRAWBACK
PAYMENTS",-,,,"1,05,369.00","6,77,397.37
Cr.",
S69213273,31-01-2025,"NEFT_IN:SBIC30026
5113985/0023/ EPAO
CUSTOMS DUTY
DRAWBACK
PAYMENTS",-,,,"1,08,352.00","5,72,028.37
Cr.",
S69212863,31-01-2025,"NEFT_IN:SBIC30026
5113970/0023/ EPAO
CUSTOMS DUTY
DRAWBACK
PAYMENTS",-,,,"1,04,807.00","4,63,676.37
Cr.",
S69212203,31-01-2025,"NEFT_IN:SBIC30026
5113987/0023/ EPAO
CUSTOMS DUTY
DRAWBACK
PAYMENTS",-,,,"1,09,113.00","3,58,869.37
Cr.",
S69199263,31-01-2025,"NEFT_IN:SBIC30026
5113986/0023/ EPAO
CUSTOMS DUTY
DRAWBACK
PAYMENTS",-,,,"1,10,224.00","2,49,756.37
Cr.",
S69175932,31-01-2025,"NEFT_IN:SBIC30026
5122209/0023/ EPAO
CUSTOMS DUTY
DRAWBACK
PAYMENTS",-,,,"86,988.00","1,39,532.37
Cr.",
S18637361,30-01-2025,"To:XXXX5889:DCM
NOUVELLE LTD
UNIT DCM TEXT",-,,"38,90,000.00",,"52,544.37 Cr.",
S18153742,30-01-2025,"NRTGS/SBINR52025
013013676678/e PAO
GST REFUNDS",-,,,"2,21,253.00","39,42,544.37
Cr.",
S18157517,30-01-2025,"NRTGS/SBINR52025
013013676679/e PAO
GST REFUNDS",-,,,"2,11,197.00","37,21,291.37
Cr.",
S18153566,30-01-2025,"NRTGS/SBINR52025
013013676682/e PAO
GST REFUNDS",-,,,"2,03,367.00","35,10,094.37
Cr.",
S18153469,30-01-2025,"NRTGS/SBINR52025
013013676677/e PAO
GST REFUNDS",-,,,"2,09,834.00","33,06,727.37
Cr.",
S18153388,30-01-2025,"NRTGS/SBINR52025
013013676680/e PAO
GST REFUNDS",-,,,"2,52,395.00","30,96,893.37
Cr.",
S18127116,30-01-2025,"NRTGS/SBINR52025
013013676420/e PAO
GST REFUNDS",-,,,"2,00,633.00","28,44,498.37
Cr.",
S18133781,30-01-2025,"NRTGS/SBINR52025
013013676424/e PAO
GST REFUNDS",-,,,"2,03,367.00","26,43,865.37
Cr.",
S18137992,30-01-2025,"NRTGS/SBINR52025
013013676422/e PAO
GST REFUNDS",-,,,"2,00,633.00","24,40,498.37
Cr.",
S18133595,30-01-2025,"NRTGS/SBINR52025
013013676419/e PAO
GST REFUNDS",-,,,"2,18,547.00","22,39,865.37
Cr.",
S18137359,30-01-2025,"NRTGS/SBINR52025
013013676418/e PAO
GST REFUNDS",-,,,"2,14,293.00","20,21,318.37
Cr.",
S17908724,30-01-2025,"NRTGS/SBINR52025
013013676423/e PAO
GST REFUNDS",-,,,"2,17,876.00","18,07,025.37
Cr.",
S17883971,30-01-2025,"NRTGS/SBINR52025
013013676397/e PAO
GST REFUNDS",-,,,"2,13,961.00","15,89,149.37
Cr.",
S17895102,30-01-2025,"NRTGS/SBINR52025
013013676396/e PAO
GST REFUNDS",-,,,"2,24,018.00","13,75,188.37
Cr.",
S17887521,30-01-2025,"NRTGS/SBINR52025
013013676393/e PAO
GST REFUNDS",-,,,"2,08,328.00","11,51,170.37
Cr.",
S17887347,30-01-2025,"NRTGS/SBINR52025
013013676394/e PAO
GST REFUNDS",-,,,"2,32,503.00","9,42,842.37
Cr.",
S17887258,30-01-2025,"NRTGS/SBINR52025
013013676395/e PAO
GST REFUNDS",-,,,"2,24,018.00","7,10,339.37
Cr.",
S17253412,30-01-2025,"NEFT_IN:SBIC30026
4881022/0022/ e PAO
GST REFUNDS",-,,,"1,98,374.00","4,86,321.37
Cr.",
S17125952,30-01-2025,"NEFT_IN:SBIC30026
4881017/0022/ e PAO
GST REFUNDS",-,,,"1,03,622.00","2,87,947.37
Cr.",
S34411033,28-01-2025,"BILL ID :
[20020D10042224] :",-,,"40,60,989.00",,"1,84,325.37
Cr.",
S34290659,28-01-2025,"BILL ID :
[20020D10042124] :",-,,"41,04,817.00",,"42,45,314.37
Cr.",
S35900419,28-01-2025,"From:XXXX5889:DC
M NOUVELLE LTD
UNIT DCM TE",-,,,"83,00,000.00","83,50,131.37
Cr.",
S85925621,27-01-2025,"To:XXXX5889:DCM
NOUVELLE LTD
UNIT DCM TEXT",-,,"11,65,79,250.
00",,"50,131.37 Cr.",
S84019873,27-01-2025,"Disb. for
[D1472493/200200UE
00004884]",-,,,"11,65,79,250.
00","11,66,29,381.
37 Cr.",
S65841205,22-01-2025,"To:XXXX5889:DCM
NOUVELLE LTD
UNIT DCM TEXT",-,,"25,03,192.00",,"50,131.37 Cr.",
